City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,kamba,11.8486,3.6576,85.01,63,100,17.0,NG,1684375999
84,ciudad constitucion,25.0369,-111.6644,67.91,59,0,12.24,MX,1684375770
85,ugoofaaru,5.6667,73.0,83.46,75,83,1.97,MV,1684376000
86,atafu village,-8.5421,-172.5159,84.45,76,100,10.4,TK,1684376000
87,harper,4.375,-7.7169,79.54,83,40,7.43,LR,1684376000
88,iqaluit,63.7506,-68.5145,27.7,74,100,2.3,CA,1684376000
89,santa cruz,-17.8,-63.1667,75.81,64,40,11.25,BO,1684376000
90,olonkinbyen,70.9221,-8.7187,33.15,98,100,15.35,SJ,1684376001
91,college,64.8569,-147.8028,64.72,36,75,6.91,US,1684376001
92,susuman,62.7833,148.1667,43.59,59,100,18.57,RU,1684376001
93,acarau,-2.8856,-40.12,78.62,88,100,9.86,BR,1684376001
94,petrolina,-9.3986,-40.5008,80.65,65,0,9.22,BR,1684376001
95,umuahia,5.5263,7.4896,74.5,98,100,1.66,NG,1684376001
96,iskitim,54.6366,83.3045,44.38,53,0,6.76,RU,1684375804
97,al 'aziziyah,32.9058,45.0616,80.49,14,0,10.96,IQ,1684376002
98,vilyuchinsk,52.9306,158.4028,41.27,83,100,10.25,RU,1684376002
99,pisco,-13.7,-76.2167,68.05,83,0,14.97,PE,1684376002
100,petropavlovsk-kamchatsky,53.0452,158.6483,39.79,87,100,15.66,RU,1684376002
101,breckenridge,32.7557,-98.9023,79.0,53,0,4.61,US,1684375837
102,choibalsan,48.0667,114.5,66.02,15,54,15.9,MN,1684376003
103,trongsa,27.5026,90.5072,58.44,85,99,2.08,BT,1684376003
104,rosarito,32.3333,-117.0333,63.25,79,68,8.77,MX,1684376003
105,mangalia,43.8,28.5833,56.98,85,100,9.71,RO,1684376003
106,longyearbyen,78.2186,15.6401,21.04,63,20,6.91,SJ,1684376003
107,santyoku,37.4406,129.1708,66.7,77,100,7.18,KR,1684376003
108,nuuk,64.1835,-51.7216,32.61,100,100,6.91,GL,1684376004
109,port elizabeth,-33.918,25.5701,57.31,99,97,5.01,ZA,1684376004
110,tabriz,38.08,46.2919,54.86,58,20,4.61,IR,1684376004
111,churapcha,62.0025,132.4325,36.82,97,100,7.56,RU,1684376004
112,isla mujeres,21.2311,-86.731,80.65,77,51,7.16,MX,1684376004
113,whitehorse,60.7161,-135.0538,79.02,16,6,5.99,CA,1684375994
114,odda,60.0691,6.5457,43.77,84,93,1.12,NO,1684376005
115,avarua,-21.2078,-159.775,75.25,73,52,6.91,CK,1684376005
116,longueau,49.8723,2.3588,45.27,90,100,6.71,FR,1684376005
117,amasra,41.7463,32.3863,58.17,90,99,1.28,TR,1684376005
118,albany,42.6001,-73.9662,43.57,48,1,4.61,US,1684376005
119,galle,6.0367,80.217,83.43,78,97,5.97,LK,1684376006
120,inhambane,-23.865,35.3833,69.26,92,31,8.23,MZ,1684376006
121,turpan,42.9333,89.1667,83.7,26,0,2.15,CN,1684376006
122,san patricio,28.017,-97.5169,79.16,71,26,5.57,US,1684376006
